iter	Logloss
0	0.6226194422
1	0.5516052125
2	0.5001446098
3	0.4532522734
4	0.415535096
5	0.3854336721
6	0.3513881757
7	0.3227524466
8	0.2902975928
9	0.2696215722
10	0.2462056382
11	0.226701319
12	0.2108197218
13	0.1958399851
14	0.1821775077
15	0.1700369647
16	0.1582647581
17	0.1449197182
18	0.1352031443
19	0.1282170452
20	0.1196259929
21	0.1121222826
22	0.1050787559
23	0.09899439723
24	0.0942074942
25	0.08740044615
26	0.08358029154
27	0.07999376002
28	0.07542784799
29	0.07191428078
30	0.06893448814
31	0.06657557055
32	0.06350553846
33	0.06069080787
34	0.05782080773
35	0.05544424989
36	0.05269873975
37	0.05075991868
38	0.04886966963
39	0.0470040799
40	0.04531618704
41	0.04344020225
42	0.04180233646
43	0.04039404474
44	0.03904010703
45	0.03713447113
46	0.03596107498
47	0.03454715658
48	0.03332036553
49	0.03222522795
50	0.03144304287
51	0.03049041974
52	0.0297048968
53	0.02897483959
54	0.02830180124
55	0.02753839539
56	0.02677098955
57	0.02626408136
58	0.02543093735
59	0.02480637293
60	0.02396999732
61	0.02335870806
62	0.02273366136
63	0.02204745548
64	0.02142558043
65	0.02088037948
66	0.0203456962
67	0.01990865833
68	0.01941370105
69	0.01892624512
70	0.01836948971
71	0.01801881255
72	0.01774116918
73	0.01739797564
74	0.01706670032
75	0.01658177162
76	0.0162343315
77	0.01584972259
78	0.01549046781
79	0.0150204505
80	0.01473395293
81	0.01448202472
82	0.01419683233
83	0.01396544083
84	0.01373945666
85	0.01353252147
86	0.0132924161
87	0.01306715128
88	0.01285464526
89	0.01263858068
90	0.01245943012
91	0.01224229879
92	0.012010519
93	0.01173245601
94	0.01155833132
95	0.0113758252
96	0.01115675245
97	0.01097575585
98	0.01077069667
99	0.01063984158
100	0.01048708125
101	0.01029434287
102	0.01017852383
103	0.0100313459
104	0.009875365563
105	0.00971904871
106	0.009586656155
107	0.009454137578
108	0.009315433057
109	0.009170430195
110	0.009026595584
111	0.008899683254
112	0.008755817308
113	0.008646459407
114	0.008511782119
