Feature,Score,Selected
SBP_stft_slow_mean_power,1.1765531010528154,False
Shock_Index_stft_ultra_slow_temporal_variability,1.161333384229362,False
SBP_stft_ultra_slow_power_ratio,1.1349871636210536,False
Resp_stft_moderate_power_ratio,1.133735082518118,False
MAP_stft_moderate_power_ratio,1.1289253631466745,False
Resp_stft_temporal_power_mean,1.109581544290101,False
Resp_stft_mean_power,1.1095815442900614,False
Shock_Index_stft_slow_max_power,1.1064803223679556,False
pH_stft_temporal_trend,1.0858023476016367,False
HR_stft_total_power,1.0741376114610817,False
Shock_Index_stft_temporal_power_std,1.0209844508738923,False
HR_stft_fast_mean_power,1.0058588615413178,False
Glucose_stft_ultra_slow_max_power,1.002341433918446,False
Temp_stft_temporal_power_min,0.9940432798970493,False
HR_stft_ultra_slow_std_power,0.9919544967842292,False
MAP_stft_slow_mean_power,0.9884999966654575,False
Shock_Index_stft_temporal_power_max,0.9823894634306738,False
MAP_stft_temporal_trend,0.9139589113961862,False
O2Sat_stft_temporal_concentration,0.8730515891790711,False
Glucose_stft_total_power,0.8469659662681642,False
SBP_stft_temporal_trend,0.8366033487185169,False
O2Sat_stft_total_power,0.8241390452190732,False
HR_stft_moderate_std_power,0.8180387397862601,False
Resp_stft_moderate_max_power,0.8133119078180774,False
O2Sat_stft_ultra_slow_max_power,0.7926277331959128,False
O2Sat_stft_slow_std_power,0.7708920212111192,False
O2Sat_stft_moderate_std_power,0.7654659788697282,False
DBP_stft_ultra_slow_mean_power,0.7475062128909484,False
Temp_stft_temporal_trend,0.6786271287585967,False
Glucose_stft_ultra_slow_std_power,0.6624581705593453,False
HR_stft_ultra_slow_power_ratio,0.6608721047796763,False
HR_stft_ultra_slow_temporal_variability,0.6524564432487516,False
Shock_Index_stft_max_power,0.6372555697814379,False
MAP_stft_moderate_mean_power,0.6305221239769022,False
O2Sat_stft_temporal_power_std,0.6271729939671662,False
O2Sat_stft_slow_temporal_variability,0.6004408807437077,False
Glucose_stft_fast_mean_power,0.5971982636082481,False
O2Sat_stft_moderate_temporal_variability,0.5945832679135924,False
MAP_stft_ultra_slow_std_power,0.5939725672038126,False
O2Sat_stft_fast_temporal_variability,0.593431595279527,False
O2Sat_stft_fast_std_power,0.593431595279527,False
Glucose_stft_moderate_mean_power,0.5928403901106203,False
MAP_stft_fast_mean_power,0.5922160108269633,False
Resp_stft_slow_power_ratio,0.5856371710596451,False
Glucose_stft_slow_mean_power,0.5835169004972669,False
DBP_stft_ultra_slow_power_ratio,0.5629965796422234,False
Glucose_stft_moderate_power_ratio,0.5344828754137132,False
O2Sat_stft_slow_max_power,0.5340445565960166,False
Resp_stft_fast_power_ratio,0.5326114765540252,False
HR_stft_temporal_concentration,0.5117088363644162,False
Resp_stft_ultra_slow_max_power,0.5071325193095644,False
HR_stft_fast_power_ratio,0.5047518719257714,False
Glucose_stft_slow_power_ratio,0.4930084001771468,False
Glucose_stft_fast_power_ratio,0.4869346752480709,False
DBP_stft_mean_power,0.48640973062279075,False
DBP_stft_temporal_power_mean,0.48640973062277515,False
pH_stft_ultra_slow_temporal_variability,0.4810282267136431,False
O2Sat_stft_max_power,0.47280197776231514,False
O2Sat_stft_moderate_max_power,0.47274534333061485,False
O2Sat_stft_fast_max_power,0.46013589746953215,False
pH_stft_ultra_slow_mean_power,0.45902364733944734,False
DBP_stft_moderate_mean_power,0.4565423905935122,False
Resp_stft_temporal_concentration,0.4536774505225289,False
Glucose_stft_temporal_power_mean,0.4420839655653294,False
Glucose_stft_mean_power,0.4420839655653283,False
O2Sat_stft_spectral_spread,0.44031608421116886,False
BaseExcess_stft_ultra_slow_power_ratio,0.4349018594210127,False
HR_stft_moderate_max_power,0.4320980688544657,False
SBP_stft_spectral_spread,0.43090105783928434,False
pH_stft_ultra_slow_power_ratio,0.4254806932446306,False
HR_stft_fast_max_power,0.41776551338514417,False
Shock_Index_stft_slow_power_ratio,0.41331856835449376,False
Resp_stft_slow_max_power,0.40511710361586867,False
PaCO2_stft_moderate_spectral_centroid,0.40159352667946613,False
PaCO2_stft_slow_spectral_centroid,0.4015727637210168,False
PaCO2_stft_spectral_spread,0.40149007828307365,False
PaCO2_stft_spectral_entropy,0.4014265653413087,False
PaCO2_stft_ultra_slow_spectral_centroid,0.40125905890659014,False
PaCO2_stft_spectral_flatness,0.40082844734267153,False
PaCO2_stft_spectral_rolloff,0.3980863695601327,False
PaCO2_stft_spectral_centroid,0.39674532005262525,False
PaCO2_stft_moderate_mean_power,0.3959795228467886,False
PaCO2_stft_temporal_concentration,0.3957297763351152,False
PaCO2_stft_slow_power_ratio,0.39478075704062926,False
PaCO2_stft_fast_mean_power,0.3940304824762349,False
PaCO2_stft_slow_max_power,0.3934897375516596,False
PaCO2_stft_slow_temporal_variability,0.3932183861092191,False
PaCO2_stft_moderate_std_power,0.39264442849121817,False
PaCO2_stft_fast_std_power,0.39216486444482884,False
PaCO2_stft_fast_temporal_variability,0.39216486444482884,False
PaCO2_stft_moderate_temporal_variability,0.3920997271378193,False
PaCO2_stft_slow_std_power,0.3895091528337184,False
HR_stft_fast_std_power,0.38880103987578224,False
HR_stft_fast_temporal_variability,0.38880103987578224,False
PaCO2_stft_moderate_max_power,0.38871729555263523,False
O2Sat_stft_temporal_power_max,0.38862697512429834,False
PaCO2_stft_fast_max_power,0.38758943384495115,False
PaCO2_stft_temporal_power_max,0.38684013016595914,False
BaseExcess_stft_spectral_flatness,0.3864638789894461,False
PaCO2_stft_temporal_power_std,0.38642594480987175,False
PaCO2_stft_ultra_slow_power_ratio,0.3847807260766418,False
PaCO2_stft_slow_mean_power,0.3847123151005925,False
DBP_stft_ultra_slow_spectral_centroid,0.38093789886077045,False
PaCO2_stft_moderate_power_ratio,0.3796173317492465,False
PaCO2_stft_fast_power_ratio,0.3763954076893497,False
Glucose_stft_spectral_rolloff,0.3752817099994355,False
O2Sat_stft_spectral_flatness,0.37519339129008505,False
SBP_stft_spectral_flatness,0.3750162756825678,False
PaCO2_stft_mean_power,0.3746830188924577,False
PaCO2_stft_temporal_power_mean,0.3746830188924574,False
BaseExcess_stft_spectral_spread,0.371597605556198,False
Glucose_stft_ultra_slow_spectral_centroid,0.3691099856314618,False
PaCO2_stft_max_power,0.3686435510925849,False
Shock_Index_stft_ultra_slow_power_ratio,0.36802216291486395,False
BaseExcess_stft_temporal_concentration,0.3672756445767299,False
PaCO2_stft_total_power,0.36242532930939064,False
pH_stft_ultra_slow_std_power,0.35727212759419863,False
PaCO2_stft_ultra_slow_std_power,0.3522078024250137,False
pH_stft_temporal_power_min,0.3521345311847059,False
DBP_stft_temporal_concentration,0.3521224002950825,False
BaseExcess_stft_spectral_centroid,0.3506638041545078,False
BaseExcess_stft_slow_spectral_centroid,0.3418961263408169,False
PaCO2_stft_ultra_slow_temporal_variability,0.33945072448027874,False
PaCO2_stft_ultra_slow_mean_power,0.3361130029053283,False
DBP_stft_spectral_centroid,0.33504615108883945,False
Resp_stft_fast_max_power,0.3323660509578499,False
BaseExcess_stft_spectral_entropy,0.3292069450015229,False
PaCO2_stft_ultra_slow_max_power,0.32641169731871733,False
SBP_stft_spectral_entropy,0.32640471111631,False
SBP_stft_moderate_spectral_centroid,0.32258255197097063,False
O2Sat_stft_spectral_entropy,0.31848217555364294,False
Glucose_stft_ultra_slow_temporal_variability,0.3064153624470629,False
O2Sat_stft_moderate_spectral_centroid,0.3061725560180295,False
DBP_stft_moderate_spectral_centroid,0.3055335641797491,False
DBP_stft_slow_spectral_centroid,0.30516640321677135,False
DBP_stft_spectral_flatness,0.30431967853318015,False
DBP_stft_spectral_entropy,0.30418793469531635,False
DBP_stft_spectral_spread,0.30285861130907893,False
SBP_stft_slow_max_power,0.29890823126850685,False
Hct_stft_moderate_spectral_centroid,0.2961115553898904,False
Hct_stft_slow_spectral_centroid,0.2961042788746852,False
Hct_stft_spectral_entropy,0.2960872977785886,False
Hct_stft_spectral_flatness,0.29598287311027777,False
Hct_stft_spectral_spread,0.2958816715975124,False
O2Sat_stft_slow_spectral_centroid,0.29568131615906046,False
Hct_stft_max_power,0.2946721388580872,False
Hct_stft_temporal_power_max,0.2942002926883539,False
Hct_stft_temporal_power_mean,0.2938687592091712,False
Hct_stft_mean_power,0.2938687592091708,False
Hct_stft_total_power,0.293304572182129,False
Glucose_stft_spectral_centroid,0.2921435714309693,False
Hct_stft_spectral_centroid,0.29185384506122075,False
DBP_stft_fast_max_power,0.2905210133216669,False
Hct_stft_temporal_power_std,0.2897616041698685,False
Hct_stft_ultra_slow_spectral_centroid,0.2887904378576176,False
Shock_Index_stft_ultra_slow_max_power,0.28760759883577475,False
SBP_stft_slow_spectral_centroid,0.28698291165235934,False
Hct_stft_temporal_concentration,0.28603559495202857,False
Shock_Index_stft_spectral_spread,0.28487588602142805,False
Glucose_stft_spectral_flatness,0.2843283426555318,False
Glucose_stft_spectral_entropy,0.28286573614656324,False
Hct_stft_slow_power_ratio,0.28031470567126715,False
Hct_stft_ultra_slow_max_power,0.28006060979369307,False
Hct_stft_moderate_max_power,0.2797221575566974,False
HR_stft_moderate_temporal_variability,0.2792524513514597,False
Hct_stft_fast_max_power,0.2791913780715546,False
Hct_stft_slow_max_power,0.2789662394196172,False
BaseExcess_stft_moderate_spectral_centroid,0.2786706291859076,False
Shock_Index_stft_spectral_entropy,0.2781280064570968,False
Hct_stft_ultra_slow_std_power,0.27713090100087534,False
BaseExcess_stft_spectral_rolloff,0.2765511684125708,False
pH_stft_temporal_concentration,0.2761872520583301,False
Glucose_stft_moderate_spectral_centroid,0.27602689782734025,False
Hct_stft_moderate_power_ratio,0.2754157345518208,False
Hct_stft_fast_power_ratio,0.27491245403908515,False
Hct_stft_slow_mean_power,0.27219430429941704,False
Shock_Index_stft_spectral_flatness,0.272088206299228,False
Glucose_stft_slow_spectral_centroid,0.2714722982077871,False
Hct_stft_slow_std_power,0.2711157689643665,False
DBP_stft_slow_temporal_variability,0.2704422316431343,False
Hct_stft_slow_temporal_variability,0.26999134186761786,False
Hct_stft_moderate_std_power,0.26705491656193414,False
Hct_stft_moderate_temporal_variability,0.2670048441592958,False
Hct_stft_moderate_mean_power,0.2665376296809064,False
Hct_stft_fast_std_power,0.26638665838501013,False
Hct_stft_fast_temporal_variability,0.26638665838501013,False
Hct_stft_fast_mean_power,0.2659087142198765,False
DBP_stft_fast_std_power,0.2644295041967931,False
DBP_stft_fast_temporal_variability,0.2644295041967931,False
Shock_Index_stft_slow_spectral_centroid,0.26415968466202855,False
DBP_stft_moderate_power_ratio,0.2634723807403381,False
Shock_Index_stft_moderate_spectral_centroid,0.2621408331320649,False
DBP_stft_slow_max_power,0.260806509907322,False
SBP_stft_ultra_slow_std_power,0.2605422086562804,False
Hct_stft_ultra_slow_mean_power,0.26003550935630965,False
Glucose_stft_spectral_spread,0.25990008506031625,False
MAP_stft_temporal_concentration,0.25929151823831503,False
Hct_stft_ultra_slow_power_ratio,0.25882829883704,False
