Model,ROC_AUC,ROC_AUC_Std,F1_Score,Precision,Recall,Accuracy
LogisticRegression,0.8075396825396824,0.08309679202925369,0.2814814814814815,0.20634920634920637,0.5,0.808300395256917
XGBoost,0.6853174603174604,0.039559332541528935,0.0,0.0,0.0,0.8221343873517787
LightGBM,0.6611111111111112,0.05884801559338612,0.06666666666666667,0.041666666666666664,0.16666666666666666,0.7773386034255599
